User,Axis,Device,Trials,Distance Error,Time
1,x,glove,3,2.36405,6
2,x,glove,2,1.19163,16
3,x,glove,3,13.75403,3
4,x,glove,3,2.61311,21
5,x,glove,2,2.50125,9
6,x,glove,2,2.0022,10
7,x,glove,3,5.67432,19
8,x,glove,4,20.97625,25
9,x,glove,1,2.66556,11
10,x,glove,3,2.36405,6
11,x,glove,2,0.47851,15
1,y,glove,2,9.02879,27
2,y,glove,2,18.02695,8
3,y,glove,1,0.28219,12
4,y,glove,1,33.33578,10
5,y,glove,2,2.63022,7
6,y,glove,1,18.82117,2
7,y,glove,1,16.36259,7
8,y,glove,3,0.45932,8
9,y,glove,1,0.32332,11
10,y,glove,3,0.43987,11
11,y,glove,1,4.89961,22
1,z,glove,2,0.93553,4
2,z,glove,3,0.5559,4
3,z,glove,1,3.22812,5
4,z,glove,5,0.3719,5
5,z,glove,3,1.52111,8
6,z,glove,1,0.13566,4
7,z,glove,2,0.12586,2
8,z,glove,1,6.92849,2
9,z,glove,1,1.60839,8
10,z,glove,1,0.18076,3
11,z,glove,1,3.13004,8
1,x,ring,1,1.05235,6
2,x,ring,2,9.35799,10
3,x,ring,3,1.96286,10
4,x,ring,1,9.19571,15
5,x,ring,2,2.01683,16
6,x,ring,1,0.47607,4
7,x,ring,2,1.24034,4
8,x,ring,1,3.07242,3
9,x,ring,1,0.15136,11
10,x,ring,1,2.41886,5
11,x,ring,1,0.42321,12
1,y,ring,2,6.35779,6
2,y,ring,3,17.52532,13
3,y,ring,2,0.09065,8
4,y,ring,3,6.21469,6
5,y,ring,4,0.37913,7
6,y,ring,1,9.07678,4
7,y,ring,1,15.15557,6
8,y,ring,1,0.09343,3
9,y,ring,1,2.06963,9
10,y,ring,2,0.80746,8
11,y,ring,1,2.81387,10
1,z,ring,1,1.98739,4
2,z,ring,2,1.96769,7
3,z,ring,1,2.5629,5
4,z,ring,1,10.61652,5
5,z,ring,2,0.60273,6
6,z,ring,1,2.28458,3
7,z,ring,1,5.70122,4
8,z,ring,1,1.80018,3
9,z,ring,1,1.67922,3
10,z,ring,2,0.18827,3
11,z,ring,1,4.1964,7
1,x,none,1,10.05069,11
2,x,none,6,34.70703,20
3,x,none,2,6.16415,17
4,x,none,1,10.09699,6
5,x,none,3,15.88171,17
6,x,none,1,7.59221,7
7,x,none,3,26.79105,15
8,x,none,2,5.37362,9
9,x,none,2,25.11175,21
10,x,none,1,0.61705,8
11,x,none,1,30.80535,6
1,y,none,1,1.41418,12
2,y,none,1,22.61465,10
3,y,none,1,7.19256,12
4,y,none,1,11.20982,6
5,y,none,1,11.04947,10
6,y,none,1,10.14546,5
7,y,none,1,34.35936,10
8,y,none,4,10.09538,8
9,y,none,2,8.86811,10
10,y,none,1,7.13906,8
11,y,none,1,16.33604,10
1,z,none,1,20.19308,12
2,z,none,4,18.02115,17
3,z,none,1,0.18043,11
4,z,none,1,10.28128,8
5,z,none,2,34.87744,15
6,z,none,1,11.01376,9
7,z,none,3,1.27098,5
8,z,none,1,11.60145,9
9,z,none,2,20.21713,10
10,z,none,1,0.69219,5
11,z,none,1,5.25276,6